Make,Model,Destroyed,Minor,Substantial,Make_Model
Boeing,727-200,1,17,25,Boeing 727-200
Boeing,737,15,124,350,Boeing 737
Boeing,737-300,5,13,33,Boeing 737-300
Boeing,747,2,38,45,Boeing 747
Boeing,747-400,1,9,19,Boeing 747-400
Boeing,757,2,14,43,Boeing 757
Boeing,767,3,17,48,Boeing 767
Boeing,777,1,32,62,Boeing 777
Boeing,Dc-10-30,0,0,2,Boeing Dc-10-30
Douglas,Dc-10-10,0,3,0,Douglas Dc-10-10
Douglas,Dc-10-30,0,1,3,Douglas Dc-10-30
Mcdonnell douglas,Dc-10-10,1,16,19,Mcdonnell douglas Dc-10-10
Mcdonnell douglas,Dc-10-30,2,9,13,Mcdonnell douglas Dc-10-30
Mcdonnell-douglas,Dc-10-10,0,1,0,Mcdonnell-douglas Dc-10-10
Mcdonnell-douglas,Dc-10-30,0,1,1,Mcdonnell-douglas Dc-10-30
